№	Domain	Subdomain	Ambiguity Type	English Context Sentence	Correct Russian Professional Equivalent	Linguistic Disambiguation Explanation
1	Information Security	Pentesting	Metaphor	The team conducted a brute force attack to assess password strength.	Команда провела атаку полного перебора для оценки надежности паролей.	"""Brute force"" is a metaphor denoting a method of solving a problem through exhaustive search, not the application of physical violence."
2	Biology / Medicine	Virology	Polysemy	The study focused on the vector of the Zika virus.	Исследование было сосредоточено на переносчике вируса Зика.	"In biology, a ""vector"" is an organism that transmits a pathogen, not a mathematical vector. The key seme is ""transmission, transfer."""
3	Programming	System Software	Metaphor	A zombie process consumes no CPU but remains in the process table.	Зомби-процесс не потребляет ЦП (CPU), но остается в таблице процессов.	"""Zombie"" refers to a process that has completed execution but has not been ""killed"" by its parent process. The seme is ""non-living, but present."""
4	Astronomy	Cosmology	Metaphor	Scientists observed a white dwarf in a binary system.	Ученые наблюдали белого карлика в двойной системе.	"""White dwarf"" is a stable astronomical term for a class of stars composed of electron-nuclear plasma, lacking sources of thermonuclear energy, and glowing due to their thermal energy."
5	Networking	Wireless Networks	Metaphor	An evil twin attack can steal sensitive user data.	"Атака ""злого двойника"" может украсть конфиденциальные пользовательские данные."	"""Evil twin"" is a type of phishing, an attack using a fake Wi-Fi access point that is indistinguishable from a genuine one."
6	Machine Learning	Model Training	Metaphor / Polysemy	High bias in the model leads to underfitting.	Высокое смещение в модели приводит к недообучению.	"""Bias"" in statistics and machine learning is a systematic error/bias in estimation, not prejudice. The key seme is ""systematic deviation from truth."""
7	Physics	Nuclear Physics	Metaphor	The reactor uses heavy water as a neutron moderator.	В реакторе используется тяжелая вода в качестве замедлителя нейтронов.	"""Heavy"" refers to isotopic composition (deuterium oxide), not density or weight in the everyday sense."
8	Databases	Administration	Metaphor	The deadlock occurred when two transactions held exclusive locks.	Взаимная блокировка произошла, когда две транзакции удерживали исключительные блокировки.	"""Deadlock"" is a state of no progress, not a ""dead lock."" The seme is ""cyclic dependency and waiting."""
9	Medicine	Oncology	Polysemy	The invasive procedure was necessary to obtain a tissue sample.	Для получения образца ткани была необходима инвазивная процедура.	"In medicine, ""invasive"" implies ""penetrating the body's natural barriers,"" not ""aggressive."""
10	Economics / Finance	Investments	Metaphor	The market entered a bear phase with falling prices.	Рынок вошел в медвежью фазу с падающими ценами.	"""Bear"" in a market context refers to a metaphor describing the direction of market movement. Also ""Bull,"" but the connection to animals is conventional."
11	Chemistry	Organic Chemistry	Polysemy	The compound has an aromatic ring in its structure.	В структуре соединения присутствует ароматическое кольцо.	"In chemistry, ""aromatic"" refers to specific properties of cyclicity and electron conjugation, not the presence of a smell."
12	Geology	Seismology	Metaphor	The epicenter of the earthquake was located offshore.	Эпицентр землетрясения был расположен в офшорной зоне.	"""Epicenter"" is the projection of the hypocenter onto the surface. Literally ""above the center,"" which reflects a spatial relationship, a direct meaning."
13	Programming	Web Development	Metaphor	The site uses cookies to store session data.	Сайт использует куки-файлы для хранения данных сессии.	"""Cookie"" is a metaphor from programming folklore — a small set of data that websites store in the browser, not a food product."
14	Biology	Molecular Biology	Metaphor	Messenger RNA (mRNA) carries genetic information from DNA.	Матричная РНК (мРНК) переносит генетическую информацию от ДНК.	"""Messenger"" is a metaphor emphasizing the function of information transfer. The technical term is ""matrix"" or ""template"" (in the context of mRNA, the established term is ""matrix RNA"" or ""messenger RNA"")."
15	Law	Corporate Law	Polysemy	The execution of the contract is scheduled for tomorrow.	Исполнение договора запланировано на завтра.	"In law, ""execution"" means bringing a document into legal force and its fulfillment, not ""capital punishment."" The key seme is ""putting into effect."""
16	Aviation	Air Traffic Control	Metaphor	The pilot was instructed to abort the takeoff due to a warning.	Пилот получил указание прервать взлет из-за предупреждения.	"""Abort"" is a standard term for stopping a procedure before its completion, the medical connotation (""abortion"") is irrelevant."
33	Operating Systems	Signals	Polysemy / Metaphor	"Use the command ""kill -9"" to kill the child process."	"Используйте команду ""kill -9"", чтобы завершить дочерний процесс."	"""Kill"" here means sending a termination signal, not an act of physical killing. Technically, the SIGKILL signal forcibly terminates a process."
18	Physics	Optics	Metaphor	The laser produces a coherent light beam.	Лазер генерирует когерентный световой пучок.	"""Coherent"" is a property of waves having a constant phase difference, not ""logical"" or ""connected"" (as in speech)."
35	Operating Systems	Process Lifecycle	Metaphor	A terminated child whose status hasn't been collected becomes a zombie.	Завершённый дочерний процесс, чей статус не был считан, становится зомби-процессом.	"""Zombie"" is a metaphor for the ""living dead"", the process is dead (consumes no CPU resources), but its entry remains in the process table until it is ""reaped"" by the parent process."
20	Ecology	Conservation	Polysemy	The species is considered an indicator of ecosystem health.	Этот вид считается индикаторным для здоровья экосистемы.	"In ecology, an ""indicator"" is a species sensitive to environmental changes, not a measuring instrument (""gauge""). The seme is ""reflector of state."""
21	Mathematics	Graph Theory	Metaphor	The algorithm finds a spanning tree in the connected graph.	Алгоритм находит остовное дерево в связном графе.	"""Tree"" is a metaphor for an acyclic connected graph. The connection to botany is historical, but the meaning is abstract."
43	Programming	Error Handling	Metaphor	The child crashed, leaving the parent in an inconsistent state.	Дочерний процесс упал, оставив родителя в несогласованном состоянии.	"""Crash"" is a metaphor describing the abnormal termination of a program that has failed."
23	Cybernetics / Robotics	AI	Metaphor	The perceptron is a fundamental model of a neural unit.	Персептрон — это фундаментальная модель нейронного элемента.	"""Perceptron"" is a neologism from ""perception,"" but it describes a mathematical function, not a sensory organ."
24	Geography	Cartography	Polysemy	The legend explains the symbols used on the map.	Условные обозначения объясняют символы, использованные на карте.	"In cartography, a ""legend"" is a block explaining symbols, not a ""legend"" (mythical tale). The key seme is ""explanatory text."""
25	Meteorology	Forecasting	Metaphor	A ridge of high pressure will bring sunny weather.	Гребень высокого давления принесет солнечную погоду.	"""Ridge"" is a metaphor describing an elongated area of high pressure on a map and means a crest, not a mountain range."
26	Electronics	Microelectronics	Polysemy	A flip-flop is a basic bistable multivibrator.	Триггер — это базовый бистабильный мультивибратор.	"""Flip-flop"" (slippers/sandals) is a jargon name based on switching between two states. The technical term is ""trigger"" or ""bistable multivibrator."""
27	Pharmacology	Clinical Trials	Metaphor	The arm of the study comparing two dosages was completed.	Группа исследования, сравнивающая две дозировки, была завершена.	"In trial design, an ""arm"" is a metaphor for a separate branch/group of treatment in a protocol, not a part of the body."
28	Sociology	Statistics	Polysemy	Aggregate data does not allow identifying individuals.	Агрегированные данные не позволяют идентифицировать отдельных лиц.	"""Aggregate"" is a statistical term for combined data, not ""aggregate"" in a general sense."
29	Acoustics	Architectural Physics	Metaphor	The material provides good damping of sound vibrations.	Материал обеспечивает хорошее демпфирование звуковых вибраций.	"""Damping"" is the process of suppressing oscillations, not ""moistening"" (from ""damp"" meaning wet)."
30	Cosmonautics	Flight Dynamics	Metaphor	The spacecraft performed a slingshot maneuver around Jupiter.	Космический аппарат выполнил гравитационный маневр вокруг Юпитера.	"""Slingshot"" is a metaphor describing the use of a planet's gravity for acceleration. The professional term is ""gravity assist maneuver."""
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
