№	Домен	Поддомен	Тип неоднозначности	Контекстное английское предложение	Корректный русский профессиональный эквивалент	Лингвистическое объяснение дезамбигуации
1	Информационная безопасность	Пентестинг	Метафора	The team conducted a brute force attack to assess password strength.	Команда провела атаку полного перебора для оценки надежности паролей.	"""Brute force"" (грубая сила) — метафора, обозначающая метод решения задачи исчерпывающим поиском, а не применение физического насилия."
2	Биология / Медицина	Вирусология	Полисемы	The study focused on the vector of the Zika virus.	Исследование было сосредоточено на переносчике вируса Зика.	"В биологии ""vector"" — организм, передающий патоген, а не математический вектор. Ключевой семой является ""перенос, передача""."
3	Программирование	Системное ПО	Метафора	A zombie process consumes no CPU but remains in the process table.	Зомби-процесс не потребляет ЦП (CPU), но остается в таблице процессов.	"""Zombie"" относится к процессу, который завершил выполнение, но не был ""убит"" родительским процессом. Сема ""неживой, но присутствующий""."
4	Астрономия	Космология	Метафора	Scientists observed a white dwarf in a binary system.	Ученые наблюдали белого карлика в двойной системе.	"""White dwarf"" (белый карлик) — устойчивый астрономический термин для обозначения класса звезд, состоящих из электронно-ядерной плазмы, лишённых источников термоядерной энергии и светящихся благодаря своей тепловой энергии."
5	Сетевые технологии	Беспроводные сети	Метафора	An evil twin attack can steal sensitive user data.	"Атака ""злого двойника"" может украсть конфиденциальные пользовательские данные."	"""Evil twin"" — это разновидность фишинга, атака с использованием поддельной точки доступа Wi-Fi, неотличимой от подлинной."
6	Машинное обучение	Обучение моделей	Метафора / Полисемы	High bias in the model leads to underfitting.	Высокое смещение в модели приводит к недообучению.	"""Bias"" в статистике и машинном обучении — систематическая ошибка / смещение оценки, а не предубеждение. Ключевая сема — ""систематическое отклонение от истины""."
7	Физика	Ядерная физика	Метафора	The reactor uses heavy water as a neutron moderator.	В реакторе используется тяжелая вода в качестве замедлителя нейтронов.	"""Heavy"" относится к изотопному составу (оксид дейтерия), а не к плотности или весу в бытовом смысле."
8	Базы данных	Администрирование	Метафора	The deadlock occurred when two transactions held exclusive locks.	Взаимная блокировка произошла, когда две транзакции удерживали исключительные блокировки.	"""Deadlock"" (взаимная блокировка) — состояние не прогресса, а не ""мертвый замок"". Сема — ""циклическая зависимость и ожидание""."
9	Медицина	Онкология	Полисемы	The invasive procedure was necessary to obtain a tissue sample.	Для получения образца ткани была необходима инвазивная процедура.	"В медицине ""invasive"" предполагает ""проникновение через естественные барьеры организма"", а не ""агрессивный""."
10	Экономика / Финансы	Инвестиции	Метафора	The market entered a bear phase with falling prices.	Рынок вошел в медвежью фазу с падающими ценами.	"""Bear"" в рыночном контексте относится к метафоре, описывающей направление движения рынка. Также ""Bull"", но связь с животными условна."
11	Химия	Органическая химия	Полисемы	The compound has an aromatic ring in its structure.	В структуре соединения присутствует ароматическое кольцо.	"В химии ""aromatic"" — специфическое свойство цикличности и сопряжения электронов, а не наличие запаха."
12	Геология	Сейсмология	Метафора	The epicenter of the earthquake was located offshore.	Эпицентр землетрясения был расположен в офшорной зоне.	"""Epicenter"" (эпицентр) — проекция гипоцентра на поверхность. Буквально ""над центром"", что отражает пространственное отношение, прямое значение."
13	Программирование	Веб-разработка	Метафора	The site uses cookies to store session data.	Сайт использует куки-файлы для хранения данных сессии.	"""Cookie"" — метафора из фольклора программирования — небольшой набор данных, который сайты сохраняютв браузере, а не пищевой продукт."
14	Биология	Молекулярная биология	Метафора	Messenger RNA (mRNA) carries genetic information from DNA.	Матричная РНК (мРНК) переносит генетическую информацию от ДНК.	"""Messenger"" (посланник) — метафора, подчеркивающая функцию переноса информации. Технический термин — ""матричная""."
15	Юриспруденция	Корпоративное право	Полисемы	The execution of the contract is scheduled for tomorrow.	Исполнение договора запланировано на завтра.	"В праве ""execution"" — приведение документа в законную силу и его выполнение, а не ""казнь"". Ключевая сема — ""приведение в действие""."
16	Авиация	Управление воздушным движением	Метафора	The pilot was instructed to abort the takeoff due to a warning.	Пилот получил указание прервать взлет из-за предупреждения.	"""Abort"" — стандартный термин для прекращения процедуры до ее завершения, медицинская коннотация (""аборт"") нерелевантна."
33	Операционные системы	Сигналы	Полисемы / Метафора	"Use the command ""kill -9"" to kill the child process."	"Используйте команду ""kill -9"", чтобы завершить дочерний процесс."	"""Kill"" здесь — отправка сигнала завершения, а не акт физического убийства. Технически сигнал SIGKILL принудительно завершает процесс."
18	Физика	Оптика	Метафора	The laser produces a coherent light beam.	Лазер генерирует когерентный световой пучок.	"""Coherent"" (когерентный) — свойство волн с постоянной разностью фаз, а не ""логичный"" или ""связный"" (в речи)."
35	Операционные системы	Жизненный цикл процессов	Метафора	A terminated child whose status hasn't been collected becomes a zombie.	Завершённый дочерний процесс, чей статус не был считан, становится зомби-процессом.	"""Zombie"" — метафора ""живого мертвеца"", процесс мёртв (не потребляет ресурсы CPU (ЦП)), но запись о нём сохраняется в таблице процессов до ""отлавливания"" (reaping) родительским процессом ."
20	Экология	Охрана природы	Полисемы	The species is considered an indicator of ecosystem health.	Этот вид считается индикаторным для здоровья экосистемы.	"В экологии ""indicator"" — вид, чувствительный к изменениям среды, а не прибор (""указатель""). Сема — ""отражатель состояния""."
21	Математика	Теория графов	Метафора	The algorithm finds a spanning tree in the connected graph.	Алгоритм находит остовное дерево в связном графе.	"""Tree"" (дерево) — метафора для ациклического связного графа. Связь с ботаникой историческая, но значение абстрактное."
43	Программирование	Обработка ошибок	Метафора	The child crashed, leaving the parent in an inconsistent state.	Дочерний процесс упал, оставив родителя в несогласованном состоянии.	"""Crash"" (крушение) — метафора, описывающая аварийное завершение программы, которая дала сбой."
23	Кибернетика / Робототехника	ИИ	Метафора	The perceptron is a fundamental model of a neural unit.	Персептрон — это фундаментальная модель нейронного элемента.	"""Perceptron"" — неологизм от ""perception"" (восприятие), но описывает математическую функцию, а не орган чувств."
24	География	Картография	Полисемы	The legend explains the symbols used on the map.	Условные обозначения объясняют символы, использованные на карте.	"В картографии ""legend"" — блок с расшифровкой символов, а не ""легенда"" (предание). Ключевая сема — ""пояснительный текст""."
25	Метеорология	Прогнозирование	Метафора	A ridge of high pressure will bring sunny weather.	Гребень высокого давления принесет солнечную погоду.	"""Ridge"" (хребет) — метафора, описывающая вытянутую область высокого давления на карте и означает гребень, а не горный хребет."
26	Электроника	Микроэлектроника	Полисемы	A flip-flop is a basic bistable multivibrator.	Триггер — это базовый бистабильный мультивибратор.	"""Flip-flop"" (шлепанцы) — жаргонное название, основанное на переключении между двумя состояниями. Технический термин — ""триггер""."
27	Фармакология	Клинические испытания	Метафора	The arm of the study comparing two dosages was completed.	Группа исследования, сравнивающая две дозировки, была завершена.	"В дизайне испытаний ""arm"" (рука) — метафора для отдельной ветви / группы лечения в протоколе, а не части тела."
28	Социология	Статистика	Полисемы	Aggregate data does not allow identifying individuals.	Агрегированные данные не позволяют идентифицировать отдельных лиц.	"""Aggregate"" — статистический термин для объединенных данных, а не ""совокупный"" в общем смысле."
29	Акустика	Строительная физика	Метафора	The material provides good damping of sound vibrations.	Материал обеспечивает хорошее демпфирование звуковых вибраций.	"""Damping"" (демпфирование) — процесс подавления колебаний, а не ""увлажнение"" (от ""damp"" — сырой)."
30	Космонавтика	Динамика полета	Метафора	The spacecraft performed a slingshot maneuver around Jupiter.	Космический аппарат выполнил гравитационный маневр вокруг Юпитера.	"""Slingshot"" (рогатка) — метафора, описывающая использование гравитации планеты для разгона. Профессиональный термин — ""гравитационный маневр""."